Questions,A,B,C,D,Correct
Can I park here?,"Sorry, I did that.",It's the same place.,Only for half an hour.,,Only for half an hour.
What colour will you paint the children's bedroom?,I hope it was right.,We can't decide.,It wasn't very difficult.,,We can't decide.
I can't understand this email.,Would you like some help?,Don't you know?,I suppose you can.,,Would you like some help?
I'd like two tickets for tomorrow night.,How much did you pay?,Afternoon and evening.,I'll just check for you.,,I'll just check for you.
Shall we go to the gym now?,I'm too tired.,It's very good.,Not at all.,,I'm too tired.
His eyes were ...... bad that he couldn't read the number plate of the car in front.,such,too,so,very,so
The company needs to decide ...... and for all what its position is on this point.,here,once,first,finally,once
Don't put your cup on the ...... of the table - someone will knock it off.,outside,edge,boundary,border,edge
I'm sorry - I didn't ...... to disturb you.,hope,think,mean,suppose,mean
The singer ended the concert ...... her most popular song.,by,with,in,as,with
Would you mind ...... these plates a wipe before putting them in the cupboard?,making,doing,getting,giving,giving
"I was looking forward ...... at the new restaurant, but it was closed.",to eat,to have eaten,to eating,eating,to eating
"...... tired Melissa is when she gets home from work, she always makes time to say goodnight to the children.",Whatever,No matter how,However much,Although,No matter how
It was only ten days ago ...... she started her new job.,then,since,after,that,that
"The shop didn't have the shoes I wanted, but they've ...... a pair specially for me.",booked,ordered,commanded,asked,ordered
Have you got time to discuss your work now or are you ...... to leave?,thinking,round,planned,about,about
She came to live here ...... a month ago.,quite,beyond,already,almost,almost
"Once the plane is in the air, you can ...... your seat belts if you wish.",undress,unfasten,unlock,untie,unfasten
I left my last job because I had no ...... to travel.,place,position,opportunity,possibility,opportunity
It wasn't a bad crash and ...... damage was done to my car.,little,small,light,mere,little
I'd rather you ...... to her why we can't go.,would explain,explained,to explain,will explain,explained
"Before making a decision, the leader considered all ...... of the argument.",sides,features,perspectives,shades,sides
This new printer is recommended as being ...... reliable.,greatly,highly,strongly,readily,highly
"When I realised I had dropped my gloves, I decided to ...... my steps.",retrace,regress,resume,return,retrace
Anne's house is somewhere in the ...... of the railway station.,region,quarter,vicinity,district,vicinity
